listing,price,brand,size
❤️ Gucci Soho Medium Bag,575.0,Gucci,OS
Louis Vuitton Multicolor Monogram Alma White (2004),2500.0,Louis Vuitton,OS
Kate Spade Jar Garden Vine Flat Blue And Beige Crossbody Bag Purse,81.0,kate spade new york,OS
The Sak Knit Tote Bag,35.0,,OS
"NWT Unbranded tote black red white colorblock shoulder bag purse Preppy
          
      NWT",20.0,Source Unknown,OS
Vintage Lands' End Red Patent Leather Tote Bag,35.0,Lands' End,OS
"Gold Quilted Chain Strap Backpack Purse
          
      NWT",45.0,,
"Juicy Couture Denim and White Crossbody Bag
          
      Boutique",125.0,Juicy Couture,OS
"Vera Bradley Waterproof Phone Pouch Lanyard NWT Summer Waterpark Protector
          
      NWT",24.0,Vera Bradley,OS
"Colorblock Handmade Real Mink Fur & Fox Fur Removable leather Handles Bag
          
      NWT",219.0,Laurie's Collection,OS
✅AUTHENTIC✅LOUIS VUITTON ACCESSORY CROSSBODY BAG,500.0,Louis Vuitton,OS
VALENTINA ITALIAN MADE PEBBLED LEATHER GRAY AND TAN BUCKET SHOULDER BAG EUC,36.0,Valentina,OS
"Coach Prairie Satchel Wine Metallic
Leather",20.0,Coach,OS
CUSTOM BCBG Embellished Black Slouch Leather Bag.,57.0,BCBG,OS
🌼Cute evening hand bag.,15.0,sasha,OS
"Fashion Designer V Black Quilted Shoulder Bag
          
      Boutique",45.0,,OS
Michael Kors Maddie zip top tote  Leather Tote,139.0,Michael Kors,OS
LOUIS VUITTON Key Case Monogram Beige Monogram Canvas Authentic,49.0,Louis Vuitton,OS
Kate Spade Kirk Park Mason Saffiano,60.0,Kate Spade,OS
Medium Goyard Black & Tan Tote Style,329.0,,OS
"Trader Joe’s Blue Mini Tote Canvas NWT
          
      NWT",29.0,Trader Joe'S,OS
Bohemian Crossbody Cloth Bag,20.0,,OS
Vintage 60 Hollywood Cream Gold Paisley Clutch Purse Wallet Handbag,22.0,Unbranded,OS
Kate spade Saturday orange wallet,30.0,kate spade,OS
Foley + Corinna Rebel Crossbody,29.0,Foley + Corinna,OS
Vintage Dooney & Bourke AWL Taupe Pebbled Leather Shopper/Satchel,75.0,Dooney & Bourke,OS
Old Navy Drawstring Pack,12.0,Old Navy,OS
💎✨BEAUTIFUL✨💎Authentic Louis Vuitton Damier Ebene Geronimos Crossbody Bag,1258.0,Louis Vuitton,OS
Dooney & Bourke Signature Large Shoulder Bag & Eyeglasses case,90.0,Dooney & Bourke,OS
"Heart Shaped Crossbody Bag
          
      Boutique",128.0,Anthropologie,OS
"🆕🔥NWT! Cosmic Coach City Tote Bag Signature Canvas w/ Rexy Print, Msrp:$450.00
          
      NWT",279.0,Coach,Large
Elegant Loeffler Randall Light Pink Leather Shoulder Bag,79.0,Loeffler Randall,OS
Golden Goose | dusty rose star mini crossbody bag,283.0,Golden Goose,OS
Coach Morgan Brown and Tan Signature Bag and matching wallet set NWOT,280.0,Coach,OS
Fancy Forest Kalidi Backpack Knapsack Bookbag Hiking Outdoor Camping,30.0,Kalidi,OS
"NWT Kate Spade Dana Small Flap Crossbody
          
      NWT",110.0,kate spade,OS
LeSportsac Hawaii Exclusive Everyday Deluxe Shoulder Bag,65.0,Lesportsac,OS
Kipling Alvar♥️Red Rouge Large Nylon Crossbody Travel Bag,55.0,Kipling,OS
Michael Kors Snap Wallet with Card Case Insert,55.0,Michael Kors,5.5x3.8 in (card case: 3.8x2.75 in)
Picnic at Ascot Wine & Cheese Cooler Bag,42.0,Picnic at Ascot,OS
"NWA tory burch canvas small tote, crossbody blue 156529
          
      Boutique",248.0,Tory Burch,OS
New Vintage Bath & Body Works Hot Pink Heart Shaped Makeup Bag,15.0,Bath & Body Works,OS
"RED LXURY MYSTICAL BAG CHARM VICTORIA COACH BIRKIN ACCESSORY RED HEART POUCH ART
          
      Boutique",65.0,The Luxe,OS
"NWT J. Jill Blue Canvas Tote Beach Bag
          
      NWT",20.0,J. Jill,OS
Lionel Leather Handbag Bag Purse‎ with Studs and Aztec Design Large,23.0,Lioness,OS
Woven Tan Crossbody Bag,10.0,,OS
"Time and Tru Women's Calvin Tote Bag
          
      NWT",15.0,Time and Tru,OS
Vintage Michael Kors Tan Leather Crocodile Embossed Handbag,175.0,Michael Kors,OS
Coach Bifold Wallet White Leather Snap Closure,50.0,Coach,OS
Brighton Leather Croc‎ 2 Tone Wallet Purse,48.0,Brighton,OS
Trinity Ranch Tooled Leather Crossbody Fringe Western Bag,72.0,Trinity Ranch,OS
Plaid Travel Bag,85.0,Makeup Junkie,OS
"New Michael Kors Evie Shoulder Bag Leather Sunshine
          
      NWT",95.0,Michael Kors,OS
Louis Vuitton Sarah NM2 Long Wallet N61735 Damier Azur,699.0,Louis Vuitton,OS
Marc By Marc Jacobs cheetah print pencil holders/ accessory bag,25.0,Marc By Marc Jacobs,OS
Vintage 90s Oilly Boho Shoulder Strap Suede Hand Embroidered Bag Purse,48.0,Vintage,OS
"Straw summer  Cream Tote Bag
          
      NWT",33.0,JustFab,OS
Satchel with bamboo too handle,16.0,unbranded,OS
GUCCI AuthenticLong Wallet Card Coin Bill Case Purse Horsebit Leather Clutch EUC,389.0,Gucci,OS
Rebecca Minkoff MAB Desert Rose pink chain Crossbody bag,54.0,Rebecca Minkoff,OS
"COACH Penelope Cobalt Blue Embossed Snake Hobo Bag, F16535",54.0,Coach,OS
Free People Penny Beaded Pouch,60.0,Free People,OS
NWT Kate Spade Metallic Saffia  Crossbody Bag,85.0,kate spade,OS
Frye Melissa Distressed Shoulder Bag,160.0,Frye,OS
"NEW Valentino Garavani Small Single Handle Bag
          
      NWT",2200.0,Valentino Garavani,OS
Victoria’s Secret Black Wristlet With Red and Silver Movable Sparkling Designs,18.0,Victoria's Secret,OS
VERA BRADLEY quilted floral print cross body/shoulder bag,35.0,Vera Bradley,OS
Authentic Fendi Brown and Gold Chain Bag,650.0,Fendi,OS
Louise et Cie Alis Genuine Leather Clutch Crossbody Bag,36.0,Louise et Cie,OS
Vera Bradley Floral Paisley Quilted Shoulder Bag - Yellow Multi‎,35.0,Vera Bradley,OS
Tumi Black Travel Laptop Leather Canvas Bag,95.0,Tumi,OS
Madewell Brown Leather Backpack,150.0,Madewell,Large
Vera Bradley Pink Elephants Small Purse (Retired),25.0,Vera Bradley,OS
"Sanrio Zipper Bag
          
      NWT",7.0,Sanrio,OS
FURLA - EUC-ABSOLUTELY STUNNING Black Patent Leather Crossbody,329.0,Furla,OS
"Brighton Red White and You Mini Tote Bag Canvas Purse Crossbody
          
      NWT",33.0,Brighton,OS
"AMERILEATHER Black Leather Montana Briefcase
          
      Boutique",269.0,Amerileather,OS
"Tory Burch pouch white faux leather wristlet bag cosmetic case
          
      NWT",59.0,Tory Burch,OS
FENDI Pequín Leather Card Wallet 😍❤️,299.0,Fendi,😍🔥
"Brighton Leather Shoulder Bag, Chocolate Brown, EUC",90.0,Brighton,OS
Rebbeca Minkoff Jean Purse Blue Purse Tote Bag,30.0,Rebecca Minkoff,OS
Anthropologie braided strap crossbody bag dark green,21.0,Anthropologie,OS
Vintage (60s)Iridescent Beaded Handbag,89.0,,OS
Urban Expressions Laurel Vegen Leather Backpack,30.0,Urban Expressions,OS
Coach 12671 Leather Zoe Top Zip Hobo Purse,135.0,Coach,OS
Z Spoke Zac Posen New York Black Patent Leather Clutch Gold Stud Accent 2010 Y2K,32.0,Zac Posen,OS
Sol Mer Women’s Woven Net Tote Bag Macrame Style with Lining & Leather Handles,15.0,,OS
Neva Opet Black Leather Crossbody Shoulder Bag,75.0,Neva Opet,OS
Anne Klein Tan Wallet with Textured Leather Finish,16.0,Anne Klein,OS
NEW Lilly Pulitzer Half Shell With Pom Poms Tote Bag Purse Carry-On Luggage,82.0,Lilly Pulitzer,OS
Stylish Cream Quilted Women's Travel Bag,12.0,Cynthia Rowley,OS
LOUIS VUITTON PALLAS MONOGRAM CHERRY CROSSBODY BAG,1500.0,Louis Vuitton,OS
Louis Vuitton Judy MM Handbag Monogram Multicolor Leather Noir Black,1450.0,Louis Vuitton,MM
CHANEL Sports Line Cream & Gray Zip Top Tote,500.0,CHANEL,OS
Floral Quilted Paisleys Patterned Shoulder Bag,30.0,Source Unknown,OS
"Khaki Card Keychain Wallet wristlet
          
      Boutique",23.0,,OS
Elegant Black Clutch with Chain Strap,17.0,,OS
Atelier Cologne Limited Edition Quentin Monge Pouch,25.0,Atelier Cologne,OS
Michael Kors crossbody purse,40.0,Michael Kors,OS
Kipling Alvar Brown Crossbody Shoulder Bag With Matching Wallet NWOT,100.0,Kipling,OS
Vera Bradley Women's Reactive Grand Backpack Heather Gray Flower Lined NWOT,75.0,Vera Bradley,OS
Stone Mountain black purse,18.0,Stone Mountain Accessories,OS
NWOT! Chanel pink velvet mini rectangle flap bag,4680.0,CHANEL,OS
Hello Kitty Pink Wallet with Cute Design,15.0,,OS
Nine West Stripe Tote Bag,35.0,Nine West,OS
Charles & Keith Black Large Laser-Cut Top Handle Bag,100.0,Charles & Keith,OS
"Michael Kors Large Trifold Wallet Navy Blue
(NWT)
          
      NWT",105.0,Michael Kors,OS
🌸3 for $20🌸 Ronner Design Equestrian Reusable Pouch,17.0,,OS
Elephant Bag Shoulder Bag Pouch Coin Passport Purse Thai Souvenir,10.0,Unbranded,OS
Saks Fifth Avenue Genuine Black Leather Backpac,125.0,Saks Fifth Avenue,OS
Louis Vuitton Murakami Multicolor Beverly GM Bag!,1790.0,Louis Vuitton,14.5x9.5x6.7in
Elegant Black Crossbody Bag with Gold Accents,25.0,Milan,OS
Brighton Card Coins Purse,16.0,Brighton,OS
"Target Limited Edition Clutch Crossbody Jacquard Cream Cocktail Chain Strap NWT
          
      NWT",15.0,Limited Edition,OS
Coach Crossbody file bag adjustable strap signature bag,49.0,Coach,OS
Louis Vuitton Monogram Side Trunk MM,3295.0,Louis Vuitton,OS
Colorful Geometric Patterned Women's Beaded Bag‎,10.0,,OS
Vera Bradley Baroque Bowler Bag,38.0,Vera Bradley,OS
"Blue Paisley Bandana Drawstring Bag
          
      Boutique",58.0,BOIDAE,OS
Rebecca Minkoff Isobel Taupe Satchel,81.0,Rebecca Minkoff,OS
Ellington Leather Wallet,24.0,Ellington,OS
Who Gives a Crap Eco-Friendly Cream Tote Bag with blue graphics NEW,20.0,Who Gives a Crap,OS
"Coach Aden Denim Crossbody nwt
          
      NWT",179.0,Coach,OS
Handcrafted Leather Wallet from Guadalajara Mexico Tooled Floral Landmark Design,16.0,Source Unknown,OS
Divina Firenze made in Italy.  This purse is made with Italian leather,100.0,Divina Firenze,OS
Marc O'Polo Mory Crossbody Bag S Black NWT,85.0,marc o’polo,OS
"NWT FFC New York Lydia Sheep Faux Fur Tote Bag Purse Olive Green Natural (Large)
          
      NWT",50.0,FFC New York,Large
Michael Kors Beige leather purse clutch wristlet,29.0,Michael Kors,OS
Vera Bradley Drawstring Crossbody,40.0,Vera Bradley,"12.5"" W x 10"" H x 6"" D"
Vintage 1990’s Gitano Blue Jean/Denim purse with Embroidered Patch  A 25030,22.0,,OS
Loui Gioune Leather Clutch Bag,25.0,Loui Gioune,OS
LOUIS VUITTON Monogram Montsouris GM Backpack,1199.0,Louis Vuitton,One size
Dooney & Bourke Donegal Crest Domed Coin Purse,35.0,Dooney & Bourke,OS
Gucci White Leather Vintage 1970s Top Handle Bag from the Blondie Collection,900.0,Gucci,OS
"Floral Print Small Purse or Makeup Cosmetic Wristlet 3
          
      Boutique",18.0,,OS
Vintage Shakeel’s Concepts Elegance Beaded Evening Bag Purse,31.0,,OS
Great Northwest Leather Crossbody NWOT,31.0,Great Northwest Clothing Company,OS
"Coach Bags, Set of 2",39.0,Coach,OS
"Badgley Mishka crossbody bag
          
      NWT",36.0,Badgley Mischka,OS
"(Large) Luxe Quilted Fanny Pack Purse
          
      NWT",49.0,,OS
ETRO Paisley Pouch in Orange and Red Colorway,200.0,Etro,OS
"Loungefly Disney A Goofy Movie Max and Roxanne Mini Backpack NWT
          
      NWT",80.0,Loungefly,OS
Prada light Brown/ Mocha color Glazed Leather Women's Bag,1145.0,Prada,OS
Gucci Guccissima Box and Tissue Paper,45.0,Gucci,OS
💞Authentic💞Hermes Large Empty Shopping Bag with Ribbon,30.0,,OS
Kate Spade New York Tote Bag |Bon Shopper,65.0,kate spade,OS
Tory Burch Ivory Mcgraw Bucket Bag ❤️❤️,175.0,Tory Burch,OS
"NWOT Furla Mini Adjustable Strap Metropolis Ruby Crossbody Bag
          
      NWT",95.0,Furla,OS
Yellow Leather Crossbody Bag,39.0,,OS
Like 🆕 Brown Plaid LUNCH Bag 9x10 inches,6.0,,OS
CALIA by Carrie Underwood Tan Crossbody Bag,25.0,CALIA by Carrie Underwood,OS
Nina Crystal Frame Clutch,58.0,Nina,Small
VINTAGE Dolce & Gabbana Black Beaded Shoulder Bag,1622.0,Dolce & Gabbana,OS
Travelon Wallet Wristlet,16.0,Travelon,OS
Couronne navy handbag shoulder bag,85.0,Couronne,OS
Kate Spade Laurel Way Stacy Wallet Printed Black White Check Nylon,60.0,kate spade,OS
"Coach Rowan Satchel Bag In Signature Canvas In Leather/Brown 1941 Red CH280 NWT
          
      NWT",259.0,Coach,OS
Coach Snakeskin Shoulder Bag - Brown and Black,100.0,Coach,OS
"Lovevook Mauve Wristlet / Clutch / Crossbody (NWT)
          
      NWT",29.0,Sakroots,4.3” x 7.1” x 1.9” (approx)
Studio Ghibli My Neighbor Totoro Crossbody Pouch in Grey,30.0,Studio Ghibli,OS
💎✨HOT BUY✨💎Authentic PRADA Nappa Leather Gathered 2Way Shoulder Bag,577.0,Prada,OS
NWOT How The Grinch Stole Christmas Lenticular Wreath Portrait crossbody bag.,60.0,Loungefly,OS
Coach Orange Leather Clutch,48.0,Coach,OS
Estee Lauder Sparkling Silver Clutch with Red Lip Detail,16.0,Estee Lauder,OS
Brighton Brown and Black Croc-Embossed Wallet,25.0,Brighton,OS
Salvatore Ferragamo Long Wallet,225.0,Salvatore Ferragamo,OS
Vintage 80s Glass Seeds Beaded Clutch Purse,54.0,Vintage,OS
Gala Vintage 50s Faux Pearl Beaded Coquette Evening‎ Clutch Bag Handbag,35.0,Gala,OS
"Caramel Quilted Toiletry Case, Cosmetic Bag with Flap-Over Design.
          
      NWT",40.0,PurseN Getaway Toiletry Case,OS
Givenchy Parfums Cosmetic Bag Black Gold Logo Zip Pouch,28.0,Givenchy,OS
"PINK Victoria’s Secret mini backpack, black and white South West pattern",49.0,PINK Victoria's Secret,OS
"NWT Authentic Burberry Runway Check Tall Tote Bag​
          
      NWT",1590.0,Burberry,OS
⚠️SALE⚠️Victoria’s Secret Draw String Bag,68.0,Victoria's Secret,OS
Stuart Weitzman Women's Rose Gold Pink Dust Bag,15.0,Stuart Weitzman,OS
Brahmin Tan Crocodile-Embossed Women's Bag,84.0,Brahmin,OS
Kate Spade Zebra Hobo Bag Red Interior Bow Accent,89.0,kate spade,"17"" x 10"" x 8"""
Vintage Boho Rainbow Graffiti Punk Rocker Festival Handpainted Leather Crossbody,33.0,,7.5”x8.5”
💎✨Authentic Balenciaga Logo Leather Continental Wallet,800.0,Balenciaga,OS
"BANANA REPUBLIC Italian Leather Zip Mini Wallet Ivory White NEW
          
      NWT",50.0,Banana Republic,"4.3"" x 3.4"" x 0.75"""
DOONEY AND BOURKE BUCKLE BAG,80.0,Dooney & Bourke,OS
Fendi baguette mini purple sequin gold hardware shoulder bag,3650.0,Fendi,OS
Green Vinyl Clutch,25.0,beauticontrol,OS
PRADA Impuntu Tessuto Quilted Nylon Chain Crossbody Bag Granato Shoulder Bag,480.0,Prada,"7.8 x 6.8 x 1.8 "" strap drop 21"" approx"
Lily Bloom Convertible Shoulder Bag,23.0,,OS
Wellfair Esmond Road Leather Ring Clutch Wristlet,30.0,Wellfair,OS
"Gold and Black Pink DaisyTote Bag
          
      NWT",10.0,,OS
Vera Bradley Midnight blue  Quilted Tote,39.0,Vera Bradley,OS
"Vintage Black Patent Leather Shoulder Bag w/ Charms
          
      NWT",44.0,,OS
"Isabelle Handbags Vegan Leather Designer Floral Tote Bag Matching Makeup Pouch
          
      NWT",28.0,,OS
Gently used crossbody Dooney & Bourke purse,30.0,Dooney & Bourke,OS
"Michael Kors jet set travel tote & wallet
          
      NWT",350.0,Michael Kors,OS
Kate Spade Kirk Saffiano Veronique Crossbody,65.0,kate spade,OS
COACH POPPY Signature Pop C’s Small Crossbody Bag Khaki Gold Metallic,39.0,Coach,OS
Brighton Nina teal feather embroidered Masterpiece collection semi circl…,99.0,Brighton,OS
Kate Spade Medium Serena Cheetah Print Shoulder Bag Animal Print Leopard,79.0,kate spade,OS
Louis Vuitton Monogram Agenda GM  **FREE Agenda**,799.0,Louis Vuitton,OS
Vintage Brighton brown woven leather bucket bag/ crossbody purse,63.0,Brighton,OS
Coach Blue Wristlet,20.0,Coach,OS
Salvatore Ferragamo Vintage Gancini Vara Chain Shoulder Bag,550.0,Salvatore Ferragamo,OS
GUESS Crossbody Bag Brown Logo Print Adjustable Strap Beige‎ Trim Charm Purse,19.0,Guess,OS
"Disney Stitch Black Floral Fanny Pack NWT
          
      NWT",45.0,Disney,OS
Urban Outfitter Crochet Crossbody,48.0,Urban Outfitters,OS
Amity Vintage Brown Cowhide Leather Clutch Checkbook Wallet Boxed,16.0,Amity,OS
Marc By Marc Jacobs Classic Q Percy Crossbody Bag with Gold Hardware,58.0,Marc By Marc Jacobs,OS
GUESS  Monogram Colorblock Brown Red Women’s Handbag,29.0,Guess,OS
COPY - 🤎Louis Vuitton Damier Ebene Triana Handbag🤎,1250.0,Louis Vuitton,"10.4"" W x 7.2"" H x 5.2"" D"
Dooney & Bourke Ambrosia Crossbody bag,99.0,Dooney & Bourke,OS
Black metal mesh cosmetic bag,6.0,Source Unknown,OS
Hammitt Los Angeles Daniel Large Tote in Midnight Trellis Tweed Gold Black,405.0,Hammitt,OS
Isaac Mizrahi Rainbow color beaded handbag purse,40.0,Isaac Mizrahi,OS
"MICHAEL KORS Greenwich East West leather mini crossbody bag - Geranium pink
          
      NWT",100.0,Michael Kors,Mini
Hobo International Bodega Bay Travel Braided Handle Olive Green Leather Tote Bag,100.0,HOBO,Approx 16” x 17” x 4”
Y2K‎ Elegant Black Crocodile-Embossed Faux Leather Women's Bag,29.0,,OS
KATE SPADE x DISNEY Snow White Mini Backpack,246.0,kate spade,H 9”x8” W
Vince Camuto Elva Blue Tassel Handbag with Shoulder Strap,100.0,Vince Camuto,OS
Crocodile-Embossed Wallet,24.0,,See pictures for measurements
"Tory Burch Perry Hobo - Beautiful Black, Cream Interior (Dust Bag!)",140.0,Tory Burch,OS
"The North Face Jester Backpack in Ashen Purple/TNF Black
          
      NWT",75.0,The North Face,OS
"Michael Kors Jet Set Travel Extra-Small Top Zip Tote Bag & Double Zip Wallet Red
          
      NWT",225.0,Michael Kors,OS
"Chanel Beauty White Cosmetic Travel Pouch
          
      NWT",36.0,Chanel Beauty,OS
Kipling dark green mini crossbody bag with sawyer keychain attachment,22.0,Kipling,OS
Vintage Handmade Beaded Black Clutch Purse – Satin– Made in Hong Kong,29.0,Source Unknown,OS
✅AUTH✅LOUIS VUITTON CARTOUCHIERE MM CROSSBODY BAG,500.0,Louis Vuitton,OS
"Philosophy silicon travel bag
          
      NWT",10.0,Philosophy,OS
Vintage 1990’s Gitano Blue Jean/Denim purse with Embroidered Patch  A 25030,22.0,,OS
Louis Vuitton Murakami Monogram Wallet,485.0,Louis Vuitton,OS
Michael Kors Beige and Gold Logo Tote used good condition,120.0,Michael Kors,OS
Vintage Airway train case with mirror,45.0,Airway,OS
"Nine West Black and Beige Carmen Shoulder Bag - NWT
          
      NWT",30.0,Nine West,OS
Lot of 5 Bags,14.0,,OS
Tory Burch Red and Gold Wallet,100.0,Tory Burch,3.5 x 7.5 x 1 inches
Lululemon - All Night Festival Bag - Micro 2L - Black/Gold,45.0,lululemon athletica,OS
My Flat In London Lady Bug Quilted Black Bag,84.0,My Flat in London,OS
Steve Madden black satin clutch,18.0,Steve Madden,OS
Authentic Prada  Nylon Leather  Backpack  Black,575.0,Prada,Medium
Y2K 90s vintage suede pin striped black shoulder mini baguette neutral,34.0,Wilsons Leather,OS
"Badgley Mischka Wine Diamond Quilt Convertible Crossbody Bag NWT
          
      NWT",35.0,Badgley Mischka,OS
"The SAK Laurel Tan Leather Satchel Handbag NWOT
          
      NWT",69.0,The Sak,OS
"Gucci ✨️ GG Marmont Matelassé Calfskin Leather Tote Bag – Off White, Like New",1550.0,Gucci,OS
"Walter Baker Hazel Leather Shoulder Bag NWT
          
      NWT",99.0,Walter Baker,OS
